   Antena   Frek.èvor     Prost.èvor   Prostor X[m]       Frek.[Hz]         Re(I) [A]         Im(I) [A]        Abs(I) [A]        Phi(I) [A]
     5           1             10           0,970         1,08E+008          3,339E-003        7,094E-003        7,841E-003        1,131E+000
     5           1             11           1,078         1,08E+008          1,959E-003        4,043E-003        4,492E-003        1,120E+000
     5           1             12           1,186         1,08E+008          0,000E+000        0,000E+000        0,000E+000        0,000E+000
     6           1              1           0,000         1,08E+008          0,000E+000        0,000E+000        0,000E+000        0,000E+000
     6           1              2           0,106         1,08E+008          9,269E-004       -5,097E-003        5,180E-003       -1,391E+000
     6           1              3           0,212         1,08E+008          1,572E-003       -8,864E-003        9,002E-003       -1,395E+000
     6           1              4           0,318         1,08E+008          2,075E-003       -1,200E-002        1,217E-002       -1,400E+000
     6           1              5           0,424         1,08E+008          2,420E-003       -1,435E-002        1,455E-002       -1,404E+000
     6           1              6           0,530         1,08E+008          2,595E-003       -1,593E-002        1,614E-002       -1,409E+000
     6           1              7           0,636         1,08E+008          2,595E-003       -1,593E-002        1,614E-002       -1,409E+000
     6           1              8           0,742         1,08E+008          2,420E-003       -1,435E-002        1,455E-002       -1,404E+000
     6           1              9           0,848         1,08E+008          2,075E-003       -1,200E-002        1,217E-002       -1,400E+000
     6           1             10           0,954         1,08E+008          1,572E-003       -8,864E-003        9,002E-003       -1,395E+000
     6           1             11           1,060         1,08E+008          9,269E-004       -5,097E-003        5,180E-003       -1,391E+000
     6           1             12           1,166         1,08E+008          0,000E+000        0,000E+000        0,000E+000        0,000E+000
     7           1              1           0,000         1,08E+008          0,000E+000        0,000E+000        0,000E+000        0,000E+000
     7           1              2           0,104         1,08E+008         -7,462E-004        9,150E-004        1,181E-003        2,255E+000
     7           1              3           0,208         1,08E+008         -1,277E-003        1,722E-003        2,144E-003        2,209E+000
     7           1              4           0,312         1,08E+008         -1,699E-003        2,513E-003        3,034E-003        2,165E+000
     7           1              5           0,417         1,08E+008         -1,991E-003        3,245E-003        3,807E-003        2,121E+000
     7           1              6           0,521         1,08E+008         -2,141E-003        4,001E-003        4,538E-003        2,062E+000
     7           1              7           0,625         1,08E+008         -2,141E-003        4,001E-003        4,538E-003        2,062E+000
     7           1              8           0,729         1,08E+008         -1,991E-003        3,245E-003        3,807E-003        2,121E+000
     7           1              9           0,833         1,08E+008         -1,699E-003        2,513E-003        3,034E-003        2,165E+000
     7           1             10           0,937         1,08E+008         -1,277E-003        1,722E-003        2,144E-003        2,209E+000
     7           1             11           1,042         1,08E+008         -7,462E-004        9,150E-004        1,181E-003        2,255E+000
     7           1             12           1,146         1,08E+008          0,000E+000        0,000E+000        0,000E+000        0,000E+000
     1           2              1           0,000         1,10E+008          0,000E+000        0,000E+000        0,000E+000        0,000E+000
     1           2              2           0,115         1,10E+008          8,156E-003        6,388E-003        1,036E-002        6,645E-001
     1           2              3           0,231         1,10E+008          1,417E-002        1,130E-002        1,813E-002        6,729E-001
     1           2              4           0,346         1,10E+008          1,903E-002        1,544E-002        2,450E-002        6,816E-001
     1           2              5           0,462         1,10E+008          2,243E-002        1,855E-002        2,910E-002        6,910E-001
     1           2              6           0,577         1,10E+008          2,418E-002        2,057E-002        3,175E-002        7,049E-001
     1           2              7           0,693         1,10E+008          2,418E-002        2,057E-002        3,175E-002        7,049E-001
     1           2              8           0,808         1,10E+008          2,243E-002        1,855E-002        2,910E-002        6,910E-001
     1           2              9           0,924         1,10E+008          1,903E-002        1,544E-002        2,450E-002        6,816E-001
     1           2             10           1,039         1,10E+008          1,417E-002        1,130E-002        1,813E-002        6,729E-001
     1           2             11           1,155         1,10E+008          8,156E-003        6,388E-003        1,036E-002        6,645E-001
     1           2             12           1,270         1,10E+008          0,000E+000        0,000E+000        0,000E+000        0,000E+000
     2           2              1           0,000         1,10E+008          0,000E+000        0,000E+000        0,000E+000        0,000E+000
     2           2              2           0,113         1,10E+008         -7,015E-003       -1,346E-002        1,518E-002       -2,051E+000
     2           2              3           0,227         1,10E+008         -1,214E-002       -2,353E-002        2,648E-002       -2,047E+000
     2           2              4           0,340         1,10E+008         -1,626E-002       -3,182E-002        3,573E-002       -2,043E+000
     2           2              5           0,454         1,10E+008         -1,913E-002       -3,782E-002        4,238E-002       -2,039E+000
     2           2              6           0,567         1,10E+008         -2,061E-002       -4,133E-002        4,618E-002       -2,033E+000
     2           2              7           0,681         1,10E+008         -2,061E-002       -4,133E-002        4,618E-002       -2,033E+000
     2           2              8           0,794         1,10E+008         -1,913E-002       -3,782E-002        4,238E-002       -2,039E+000
     2           2              9           0,908         1,10E+008         -1,626E-002       -3,182E-002        3,573E-002       -2,043E+000
     2           2             10           1,021         1,10E+008         -1,214E-002       -2,353E-002        2,648E-002       -2,047E+000
     2           2             11           1,135         1,10E+008         -7,015E-003       -1,346E-002        1,518E-002       -2,051E+000
     2           2             12           1,248         1,10E+008          0,000E+000        0,000E+000        0,000E+000        0,000E+000
     3           2              1           0,000         1,10E+008          0,000E+000        0,000E+000        0,000E+000        0,000E+000
     3           2              2           0,112         1,10E+008         -3,646E-003        1,288E-002        1,338E-002        1,847E+000
     3           2              3           0,223         1,10E+008         -6,270E-003        2,242E-002        2,328E-002        1,843E+000
     3           2              4           0,335         1,10E+008         -8,359E-003        3,024E-002        3,137E-002        1,840E+000
     3           2              5           0,446         1,10E+008         -9,807E-003        3,589E-002        3,720E-002        1,838E+000
     3           2              6           0,558         1,10E+008         -1,055E-002        3,920E-002        4,059E-002        1,834E+000
     3           2              7           0,669         1,10E+008         -1,055E-002        3,920E-002        4,059E-002        1,834E+000
     3           2              8           0,781         1,10E+008         -9,807E-003        3,589E-002        3,720E-002        1,838E+000
     3           2              9           0,892         1,10E+008         -8,359E-003        3,024E-002        3,137E-002        1,840E+000
     3           2             10           1,004         1,10E+008         -6,270E-003        2,242E-002        2,328E-002        1,843E+000
     3           2             11           1,116         1,10E+008         -3,646E-003        1,288E-002        1,338E-002        1,847E+000
     3           2             12           1,227         1,10E+008          0,000E+000        0,000E+000        0,000E+000        0,000E+000
     4           2              1           0,000         1,10E+008          0,000E+000        0,000E+000        0,000E+000        0,000E+000
     4           2              2           0,110         1,10E+008          4,225E-003       -2,174E-003        4,751E-003       -4,751E-001
     4           2              3           0,219         1,10E+008          7,254E-003       -3,965E-003        8,267E-003       -5,002E-001
     4           2              4           0,329         1,10E+008          9,662E-003       -5,586E-003        1,116E-002       -5,242E-001
     4           2              5           0,439         1,10E+008          1,133E-002       -6,925E-003        1,328E-002       -5,487E-001
     4           2              6           0,548         1,10E+008          1,218E-002       -8,019E-003        1,459E-002       -5,821E-001
     4           2              7           0,658         1,10E+008          1,218E-002       -8,019E-003        1,459E-002       -5,821E-001
     4           2              8           0,768         1,10E+008          1,133E-002       -6,925E-003        1,328E-002       -5,487E-001
     4           2              9           0,877         1,10E+008          9,662E-003       -5,586E-003        1,116E-002       -5,242E-001
     4           2             10           0,987         1,10E+008          7,254E-003       -3,965E-003        8,267E-003       -5,002E-001
     4           2             11           1,097         1,10E+008          4,225E-003       -2,174E-003        4,751E-003       -4,751E-001
     4           2             12           1,206         1,10E+008          0,000E+000        0,000E+000        0,000E+000        0,000E+000
     5           2              1           0,000         1,10E+008          0,000E+000        0,000E+000        0,000E+000        0,000E+000
     5           2              2           0,108         1,10E+008          4,015E-003        1,417E-003        4,258E-003        3,392E-001
     5           2              3           0,216         1,10E+008          6,861E-003        2,634E-003        7,349E-003        3,666E-001
     5           2              4           0,323         1,10E+008          9,108E-003        3,782E-003        9,862E-003        3,936E-001
     5           2              5           0,431         1,10E+008          1,066E-002        4,784E-003        1,168E-002        4,219E-001
     5           2              6           0,539         1,10E+008          1,145E-002        5,698E-003        1,279E-002        4,618E-001
     5           2              7           0,647         1,10E+008          1,145E-002        5,698E-003        1,279E-002        4,618E-001
     5           2              8           0,755         1,10E+008          1,066E-002        4,784E-003        1,168E-002        4,219E-001
     5           2              9           0,862         1,10E+008          9,108E-003        3,782E-003        9,862E-003        3,936E-001
     5           2             10           0,970         1,10E+008          6,861E-003        2,634E-003        7,349E-003        3,666E-001
     5           2             11           1,078         1,10E+008          4,015E-003        1,417E-003        4,258E-003        3,392E-001
     5           2             12           1,186         1,10E+008          0,000E+000        0,000E+000        0,000E+000        0,000E+000
     6           2              1           0,000         1,10E+008          0,000E+000        0,000E+000        0,000E+000        0,000E+000
     6           2              2           0,106         1,10E+008         -1,020E-003       -7,519E-003        7,588E-003       -1,706E+000
     6           2              3           0,212         1,10E+008         -1,745E-003       -1,302E-002        1,314E-002       -1,704E+000
     6           2              4           0,318         1,10E+008         -2,319E-003       -1,753E-002        1,768E-002       -1,702E+000
     6           2              5           0,424         1,10E+008         -2,716E-003       -2,084E-002        2,101E-002       -1,700E+000
     6           2              6           0,530         1,10E+008         -2,919E-003       -2,292E-002        2,311E-002       -1,697E+000
     6           2              7           0,636         1,10E+008         -2,919E-003       -2,292E-002        2,311E-002       -1,697E+000
     6           2              8           0,742         1,10E+008         -2,716E-003       -2,084E-002        2,101E-002       -1,700E+000
     6           2              9           0,848         1,10E+008         -2,319E-003       -1,753E-002        1,768E-002       -1,702E+000
     6           2             10           0,954         1,10E+008         -1,745E-003       -1,302E-002        1,314E-002       -1,704E+000
     6           2             11           1,060         1,10E+008         -1,020E-003       -7,519E-003        7,588E-003       -1,706E+000
     6           2             12           1,166         1,10E+008          0,000E+000        0,000E+000        0,000E+000        0,000E+000
     7           2              1           0,000         1,10E+008          0,000E+000        0,000E+000        0,000E+000        0,000E+000
     7           2              2           0,104         1,10E+008         -3,701E-003        2,937E-003        4,724E-003        2,471E+000
     7           2              3           0,208         1,10E+008         -6,302E-003        5,195E-003        8,167E-003        2,452E+000
     7           2              4           0,312         1,10E+008         -8,351E-003        7,145E-003        1,099E-002        2,434E+000
     7           2              5           0,417         1,10E+008         -9,761E-003        8,685E-003        1,307E-002        2,414E+000
     7           2              6           0,521         1,10E+008         -1,048E-002        9,863E-003        1,439E-002        2,387E+000
     7           2              7           0,625         1,10E+008         -1,048E-002        9,863E-003        1,439E-002        2,387E+000
     7           2              8           0,729         1,10E+008         -9,761E-003        8,685E-003        1,307E-002        2,414E+000
     7           2              9           0,833         1,10E+008         -8,351E-003        7,145E-003        1,099E-002        2,434E+000
     7           2             10           0,937         1,10E+008         -6,302E-003        5,195E-003        8,167E-003        2,452E+000
     7           2             11           1,042         1,10E+008         -3,701E-003        2,937E-003        4,724E-003        2,471E+000
     7           2             12           1,146         1,10E+008          0,000E+000        0,000E+000        0,000E+000        0,000E+000
     1           3              1           0,000         1,12E+008          0,000E+000        0,000E+000        0,000E+000        0,000E+000
     1           3              2           0,115         1,12E+008          1,024E-002        4,870E-003        1,134E-002        4,441E-001
     1           3              3           0,231         1,12E+008          1,786E-002        8,718E-003        1,988E-002        4,540E-001
     1           3              4           0,346         1,12E+008          2,405E-002        1,203E-002        2,689E-002        4,639E-001
     1           3              5           0,462         1,12E+008          2,840E-002        1,458E-002        3,192E-002        4,744E-001
     1           3              6           0,577         1,12E+008          3,065E-002        1,633E-002        3,472E-002        4,895E-001
     1           3              7           0,693         1,12E+008          3,065E-002        1,633E-002        3,472E-002        4,895E-001
     1           3              8           0,808         1,12E+008          2,840E-002        1,458E-002        3,192E-002        4,744E-001
     1           3              9           0,924         1,12E+008          2,405E-002        1,203E-002        2,689E-002        4,639E-001
     1           3             10           1,039         1,12E+008          1,786E-002        8,718E-003        1,988E-002        4,540E-001
     1           3             11           1,155         1,12E+008          1,024E-002        4,870E-003        1,134E-002        4,441E-001
     1           3             12           1,270         1,12E+008          0,000E+000        0,000E+000        0,000E+000        0,000E+000
     2           3              1           0,000         1,12E+008          0,000E+000        0,000E+000        0,000E+000        0,000E+000
     2           3              2           0,113         1,12E+008         -1,398E-002       -1,789E-002        2,271E-002       -2,234E+000
     2           3              3           0,227         1,12E+008         -2,428E-002       -3,135E-002        3,965E-002       -2,230E+000
     2           3              4           0,340         1,12E+008         -3,260E-002       -4,242E-002        5,350E-002       -2,226E+000
     2           3              5           0,454         1,12E+008         -3,843E-002       -5,039E-002        6,337E-002       -2,222E+000
     2           3              6           0,567         1,12E+008         -4,143E-002       -5,494E-002        6,881E-002       -2,217E+000
     2           3              7           0,681         1,12E+008         -4,143E-002       -5,494E-002        6,881E-002       -2,217E+000
     2           3              8           0,794         1,12E+008         -3,843E-002       -5,039E-002        6,337E-002       -2,222E+000
     2           3              9           0,908         1,12E+008         -3,260E-002       -4,242E-002        5,350E-002       -2,226E+000
     2           3             10           1,021         1,12E+008         -2,428E-002       -3,135E-002        3,965E-002       -2,230E+000
     2           3             11           1,135         1,12E+008         -1,398E-002       -1,789E-002        2,271E-002       -2,234E+000
     2           3             12           1,248         1,12E+008          0,000E+000        0,000E+000        0,000E+000        0,000E+000
     3           3              1           0,000         1,12E+008          0,000E+000        0,000E+000        0,000E+000        0,000E+000
     3           3              2           0,112         1,12E+008          2,784E-003        2,593E-002        2,608E-002        1,464E+000
     3           3              3           0,223         1,12E+008          4,830E-003        4,509E-002        4,534E-002        1,464E+000
     3           3              4           0,335         1,12E+008          6,478E-003        6,066E-002        6,101E-002        1,464E+000
     3           3              5           0,446         1,12E+008          7,631E-003        7,174E-002        7,215E-002        1,465E+000
     3           3              6           0,558         1,12E+008          8,225E-003        7,787E-002        7,830E-002        1,466E+000
     3           3              7           0,669         1,12E+008          8,225E-003        7,787E-002        7,830E-002        1,466E+000
     3           3              8           0,781         1,12E+008          7,631E-003        7,174E-002        7,215E-002        1,465E+000
     3           3              9           0,892         1,12E+008          6,478E-003        6,066E-002        6,101E-002        1,464E+000
     3           3             10           1,004         1,12E+008          4,830E-003        4,509E-002        4,534E-002        1,464E+000
     3           3             11           1,116         1,12E+008          2,784E-003        2,593E-002        2,608E-002        1,464E+000
     3           3             12           1,227         1,12E+008          0,000E+000        0,000E+000        0,000E+000        0,000E+000
     4           3              1           0,000         1,12E+008          0,000E+000        0,000E+000        0,000E+000        0,000E+000
     4           3              2           0,110         1,12E+008          8,401E-003       -8,795E-003        1,216E-002       -8,083E-001
     4           3              3           0,219         1,12E+008          1,446E-002       -1,541E-002        2,113E-002       -8,173E-001
     4           3              4           0,329         1,12E+008          1,929E-002       -2,091E-002        2,844E-002       -8,257E-001
     4           3              5           0,439         1,12E+008          2,264E-002       -2,495E-002        3,369E-002       -8,339E-001
     4           3              6           0,548         1,12E+008          2,436E-002       -2,744E-002        3,669E-002       -8,449E-001
     4           3              7           0,658         1,12E+008          2,436E-002       -2,744E-002        3,669E-002       -8,449E-001
     4           3              8           0,768         1,12E+008          2,264E-002       -2,495E-002        3,369E-002       -8,339E-001
     4           3              9           0,877         1,12E+008          1,929E-002       -2,091E-002        2,844E-002       -8,257E-001
     4           3             10           0,987         1,12E+008          1,446E-002       -1,541E-002        2,113E-002       -8,173E-001
     4           3             11           1,097         1,12E+008          8,401E-003       -8,795E-003        1,216E-002       -8,083E-001
     4           3             12           1,206         1,12E+008          0,000E+000        0,000E+000        0,000E+000        0,000E+000
